region,popgrowth,orgimpact,difference_pop
AT,4.791241725371795,4.797005502745346,-0.00576377737355142
BE,8.2378450931596,8.260602189959293,-0.02275709679969259
BG,0.9636763471443366,0.9645829624225969,-0.0009066152782603467
CY,0.44648791863092235,0.44689019991136747,-0.00040228128044509504
CZ,2.926359942890466,2.930155702616253,-0.0037957597257868656
DE,42.17872729848577,42.251191746699355,-0.07246444821358454
DK,2.452918939813485,2.457361088041535,-0.0044421482280495184
EE,0.37907370955284153,0.3796579438343856,-0.0005842342815440702
ES,14.536629336597308,14.552772860714153,-0.016143524116845585
FI,3.311378884628041,3.3159836351030263,-0.004604750474985394
FR,26.356554900261447,26.3961345436548,-0.039579643393353764
GR,3.550656711481062,3.5543680404835913,-0.0037113290025290553
HR,0.886885212216198,0.8876666133332638,-0.0007814011170659115
HU,1.5558867653080146,1.5579003803765996,-0.0020136150685848408
IE,1.7336703925487207,1.737269621637069,-0.0035992290883484655
IT,26.680910754499386,26.70582663217481,-0.024915877675422964
LT,0.6009128232214257,0.6018680046064637,-0.0009551813850380313
LU,0.5065079060767674,0.5077149866493731,-0.001207080572605662
LV,0.4525213723176669,0.45319479548908065,-0.0006734231714137309
MT,0.47202583939439263,0.4724193859302762,-0.0003935465358836154
NL,9.0860652302544,8.006447403381149,1.079617826873251
PL,6.859327849886841,6.868525018680955,-0.009197168794114077
PT,2.3845952919957143,2.3875438154505333,-0.0029485234548187692
RO,3.746491026996091,3.749116948508277,-0.0026259215121863235
SE,10.747312198488078,10.757920513996908,-0.010608315508829036
SI,0.7324759674184134,0.7332960199652293,-0.0008200525468159867
SK,1.3153779699877322,1.3168114542035763,-0.001433484215844146
GB,25.79951050144669,25.84217662572571,-0.04266612427902146
US,205.7237673103054,205.82522904157958,-0.1014617312742048
JP,86.51201616903354,86.5389721080429,-0.026955939009363647
CN,1478.8589102684227,1479.017918471941,-0.15900820351811126
CA,19.589189567786374,19.599751552624568,-0.010561984838193894
KR,56.595867533080195,56.61326704578426,-0.01739951270406891
BR,59.615312873017444,59.630111696590916,-0.014798823573473783
IN,129.8566709633025,129.89470017856135,-0.038029215258851765
MX,18.438246843349653,18.44500045773829,-0.006753614388635469
RU,64.02739962848919,64.0482987656608,-0.0208991371716038
AU,85.40042947462845,85.41712671947897,-0.016697244850511196
CH,5.485291577833428,5.494905953213655,-0.009614375380227103
TR,18.59550383116553,18.606309240376973,-0.010805409211443476
TW,29.721065561218378,29.73628674786077,-0.01522118664239315
NO,5.756402076985061,5.764146705899862,-0.007744628914801979
ID,24.089476272971496,24.099868899666248,-0.010392626694752835
ZA,18.74286620639639,18.749335665877737,-0.006469459481348167
WA,175.44969057535852,175.5626856444342,-0.11299506907566684
WL,83.93596103654328,83.97483317520121,-0.038872138657941833
WE,55.811390705279784,55.82223052481102,-0.010839819531232933
WF,53.85779974536823,53.89079022870994,-0.03299048334170948
WM,127.65905201048731,127.72614854003952,-0.06709652955220372
