 ,0
MX,11.642744581842129
US,15.317311339608297
SE,18.50447760673171
WL,19.383417276377855
WM,20.723507115742894
WE,20.915329003561485
Below Threshold,28.300668121124325
WA,31.216372896906744
ZA,36.655222391242674
RU,37.44778627892437
IN,89.35167753952227
BR,283.12611347356733
AU,286.4354582220547
CN,398.08036877825907
