region,sector,0
WF,Mining of iron ores,13.984903249999986
MX,Mining of iron ores,18.710975651099975
SE,Mining of iron ores,26.873107737600105
CA,Mining of iron ores,33.572999999999915
WE,Mining of iron ores,35.2036685770999
WL,Mining of iron ores,36.3109229145
WM,Mining of iron ores,47.48150381509999
US,Mining of iron ores,53.408008961399965
ZA,Mining of iron ores,54.168626383299994
WA,Mining of iron ores,74.48289966889953
RU,Mining of iron ores,88.77841360200009
Below Threshold,Sum of below threshold,94.05410224039505
IN,Mining of iron ores,168.5819999999998
BR,Mining of iron ores,457.4651891989996
AU,Mining of iron ores,477.3309999999994
CN,Mining of iron ores,1326.9419999999957
