,increase_5%,increase_2%
0,0.0,0.0
1,0.0004972891719341278,0.001281393397629261
2,0.0010442559869289398,0.0026914727994203566
3,8.159224444627762e-05,0.00021018068462610244
4,0.00018506587432324886,0.00047710319676995275
5,0.00024373999381065368,0.0006279788602292538
6,2.5567500444012694e-06,6.593469010840636e-06
7,0.0009085119985342026,0.00234294417321682
8,0.004083296317577362,0.010524668284416198
9,0.0001347965850830078,0.00034707415556907656
10,5.761175081133842e-05,0.0001483486426770687
11,0.0002945552055537701,0.0007578637908101082
12,6.071557629387826e-06,1.5618892835918813e-05
13,0.0016105323667526246,0.004147925551891327
14,4.5317131225237974e-07,1.168972149665933e-06
15,0.0,0.0
16,0.0,0.0
17,0.0016249844131469727,0.004155670753479004
18,1.7024930007755757e-07,4.3808537506265564e-07
19,0.0008907979848235846,0.002297969251051545
20,0.0062968125936985015,0.016240238176345824
21,0.004109977788448333,0.010597544172763824
22,1.0891794475625792e-18,2.8078754887194596e-18
23,0.0,0.0
24,0.000404424042403698,0.0010430062328577042
25,0.0,0.0
26,1.8153610749359359e-06,4.6830928875569956e-06
27,2.24909969883156e-05,5.802009830687894e-05
28,1.5478186457417906e-05,3.992912810109556e-05
29,3.615560615726281e-06,9.327073516033124e-06
30,0.0011151307354047893,0.0028765932267904282
31,0.001810712955236435,0.004668924953460694
32,0.005203501707077026,0.013415082513332366
33,0.000408486654073,0.0010532491729557515
34,5.3252288810908793e-05,0.0001371100561246276
35,3.907047176361084e-05,0.0001005647780150175
36,9.283465914428234e-06,2.3895253229886293e-05
37,1.8215270121581853e-06,4.693541159387678e-06
38,1.234624309837818e-05,3.181887356564403e-05
39,8.064851647615433e-05,0.00020758063554763794
40,2.3015089174732567e-06,5.927745286375284e-06
41,3.242223234847188e-05,8.351411210745572e-05
42,0.0002736815835237503,0.0007052084812521934
43,0.00043735060268640516,0.0011269387773275375
44,5.2623904762789605e-05,0.00013553377529978752
45,8.965416135266423e-05,0.0002311934763342142
46,5.563020326197147e-05,0.0001433587805852294
47,3.830103029310703e-05,9.870135475695133e-05
48,2.178369593806565e-06,5.612308115698397e-06
49,0.0004905273866653442,0.001254147494763136
50,0.0006466440920829772,0.0016529933931231499
51,0.0004673363500237465,0.0012046061369776725
52,0.0007556014251708984,0.001947722051680088
53,0.0014079194257259368,0.003628529207110405
54,0.0013376197986602783,0.0034474266624450684
55,0.007239529471755028,0.018671573001861574
56,0.005836861840248108,0.015050496367454529
57,0.00010063861482590438,0.00025942542661726477
58,0.0015010029393434524,0.0038694833967685698
59,0.0007473747096657753,0.001926590752184391
60,8.561528180539608e-05,0.0002206917589083314
61,0.00020363928939402104,0.0005247911498248577
62,0.0014999563385248184,0.0038682818254232405
63,0.00011637521290034056,0.00030009227684140203
64,9.639221639186144e-05,0.0002483486839905381
65,9.172696770727634e-05,0.00023632873331010343
66,0.00025682369214296343,0.0006620261932909489
67,0.00013267771595716477,0.0003420753183066845
68,0.0036004864268302916,0.009285759892940521
69,0.0009918367139101028,0.0025577613344192505
70,0.008347992568254472,0.021536661642432214
71,0.010994409514904022,0.02835835779261589
72,0.00205847889739275,0.005309425190865994
73,9.433092444390058e-05,0.0002433331130258739
74,0.0,0.0
75,0.0011473894353620708,0.0029601314300131054
76,0.3090597378678322,0.7973396647701263
77,4.48797790473327e-06,1.1566753856372087e-05
78,4.335610002279281e-06,1.117406805511564e-05
79,0.00014810815804079176,0.000380451170977205
80,0.0003936217095702887,0.0010111476204916834
81,0.004280252240709961,0.011041891887180508
82,0.0,0.0
83,0.002270205750465393,0.005857654802203178
84,0.0013142016965150833,0.0033917499930858613
85,0.000679758249104023,0.001756954055249691
86,9.544773600064218e-06,2.4607958974316718e-05
87,0.0007302539805173874,0.0018836685858666896
88,8.504085497558116e-05,0.00021926998195052148
89,0.0002873062478005886,0.0007412825198471546
90,7.069332706928253e-05,0.0001823803241401911
91,1.4339285008609294e-05,3.698868965730071e-05
92,0.0004184994378387928,0.0010794112811684609
93,0.0007600699536576867,0.0019607892721872776
94,1.0220007156021893e-05,2.6336790889967232e-05
95,0.008296613422870636,0.021390642904758454
96,0.0033902846467494963,0.0087408571434021
97,0.0,0.0
98,5.461527208797634e-06,1.4080848860554397e-05
99,9.56126605719328e-05,0.0002465226925015449
100,0.00011108579362928867,0.0002863828929811716
101,0.0008419172839522362,0.0021706217530965805
102,3.4356901161372664e-05,8.858717476669699e-05
103,0.0,0.0
104,0.0,0.0
105,1.0845244159281719e-07,2.795139422232751e-07
106,9.58284943919807e-10,2.47078771701581e-09
107,0.00013005183918774128,0.0003352584958523512
108,2.1157920994596678e-10,5.453569123403668e-10
109,0.012770380905151367,0.032922330966949465
110,0.003900984712600708,0.010053262789726257
111,9.537039840221405e-05,0.00024578457015752794
112,0.000579658762216568,0.0014941207559108734
113,1.8208973117172718e-05,4.692635991424322e-05
114,4.263803978264332e-05,0.00010992212808132172
